"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-01-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1334","인천광역시 남동구 구월동","집합","1***","예술로","일반상업","판매","25m이상","7.58"," ","2,400","1","-","-","202301","17","지분","1999","-","직거래","-"
"1335","경상남도 창원시 마산합포구 해운동","집합","*","월영동2길","일반상업","제1종근린생활","12m미만","332.77"," ","20,000","","-","-","202301","17","","1995","-","직거래","-"
"1336","충청남도 금산군 군북면 조정리","일반","4**","배나무길","농림","제2종근린생활","8m미만","260.00","922.00","18,300","","-","-","202301","17","","2013","-","중개거래","충남 금산군"
"1337","경기도 성남시 중원구 상대원동","집합","2**","순환로","일반공업","제2종근린생활","25m미만","182.67"," ","70,000","2","-","-","202301","17","","2003","-","중개거래","경기 성남분당구 경기 성남중원구"
"1338","서울특별시 은평구 수색동","일반","3**","수색로","준주거","제2종근린생활","25m이상","67.52","33.00","83,000","","-","-","202301","17","","1972","-","중개거래","서울 은평구"
"1339","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","20.02"," ","91,862","1","-","-","202301","17","","","-","중개거래","서울 서초구"
"1340","서울특별시 종로구 창신동","일반","4**","종로50길","일반상업","제2종근린생활","8m미만","30.25","62.80","102,000","","-","-","202301","17","","1933","-","중개거래","서울 종로구"
"1341","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","59.94"," ","41,197","3","-","-","202301","17","","2018","20230526","중개거래","경기 하남시"
"1342","충청남도 천안시 서북구 백석동","일반","3**","한들1로","제2종일반주거","제1종근린생활","8m미만","170.62","329.00","72,000","","-","-","202301","17","","2017","-","직거래","-"
"1343","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","101.60"," ","69,831","3","-","-","202301","17","","2018","20230526","중개거래","경기 하남시"
"1344","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","35.25"," ","68,822","3","-","-","202301","17","","","-","중개거래","서울 서초구"
"1345","충청남도 천안시 서북구 두정동","일반","1***","두정로","일반상업","제1종근린생활","25m이상","6205.36","832.10","920,000","","-","-","202301","17","","2008","-","직거래","-"
"1346","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","59.94"," ","41,197","3","-","-","202301","17","","2018","20230215","중개거래","경기 하남시"
"1347","서울특별시 종로구 적선동","집합","8*","새문안로5가길","일반상업","제2종근린생활","25m이상","232.26"," ","4,383","6","-","-","202301","17","지분","1986","-","직거래","-"
"1348","경기도 김포시 양촌읍 구래리","일반","8**","봉수대로1825번길","자연녹지","제2종근린생활","8m미만","232.65","1322.00","146,982","","-","-","202301","17","","","20230220","중개거래","경기 김포시"
"1349","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","78.09"," ","53,672","3","-","-","202301","17","","2018","20230526","중개거래","경기 하남시"
"1350","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","78.09"," ","53,672","3","-","-","202301","17","","2018","20230215","중개거래","경기 하남시"
"1351","경기도 하남시 망월동","집합","1***","미사강변남로","근린상업","제1종근린생활","25m이상","101.60"," ","69,831","3","-","-","202301","17","","2018","20230215","중개거래","경기 하남시"
"1352","부산광역시 수영구 남천동","집합","1**","남천동로","제3종일반주거","제1종근린생활","25m미만","25.46"," ","24,000","2","-","-","202301","17","","2009","-","중개거래","부산 수영구"
"1353","충청남도 논산시 내동","일반","1***","시민로307번길","제1종일반주거","제1종근린생활","25m미만","686.90","309.00","65,000","","-","-","202301","17","","1997","-","직거래","-"
"1354","강원특별자치도 고성군 토성면 원암리","집합","4**","","계획관리","숙박","12m미만","116.48"," ","24,760","5","-","-","202301","17","지분","2022","-","직거래","-"
"1355","경상남도 창원시 의창구 팔용동","일반","*","차상로8번길","유통상업","판매","12m미만","288.00","487.30","105,000","","-","-","202301","17","","1996","-","중개거래","경남 창원의창구"
"1356","경기도 화성시 팔탄면 가재리","일반","6**","신양1길","자연녹지","제2종근린생활","8m미만","715.40","1653.00","141,300","","-","-","202301","17","","2009","-","중개거래","경기 화성시"
"1357","충청남도 천안시 동남구 삼룡동","집합","4**","청수12로","제1종일반주거","제1종근린생활","25m미만","46.53"," ","19,900","1","-","-","202301","17","","2018","20230125","중개거래","충남 천안동남구"
"1358","경기도 양평군 옥천면 신복리","집합","1**","신촌길","계획관리","숙박","12m미만","45.00"," ","2,209","25","-","-","202301","17","지분","1988","-","직거래","-"
"1359","서울특별시 서초구 양재동","집합","2**","매헌로","일반상업","제2종근린생활","25m이상","16.30"," ","5,500","","-","-","202301","17","","2005","-","직거래","-"
"1360","대전광역시 중구 유천동","집합","3**","태평로44번길","제3종일반주거","제1종근린생활","25m이상","46.44"," ","1,800","3","-","-","202301","17","","2008","-","직거래","-"
"1361","경상북도 경산시 옥산동","집합","7**","성암로21길","일반상업","제1종근린생활","25m미만","30.64"," ","15,500","1","-","-","202301","17","","1997","-","중개거래","대구 수성구"
"1362","인천광역시 연수구 연수동","일반","5**","비류대로","준주거","제2종근린생활","25m이상","3197.65","674.00","430,000","","-","-","202301","17","","1996","-","중개거래","인천 계양구 인천 남동구"
"1363","서울특별시 중구 장교동","집합","*","청계천로","일반상업","판매","25m이상","301.60"," ","90,126","","-","-","202301","17","","1987","-","직거래","-"
"1364","충청남도 보령시 신흑동","집합","2***","해수욕장3길","계획관리","숙박","25m미만","46.62"," ","2,210","6","-","-","202301","17","지분","1998","-","직거래","-"
"1365","경기도 양평군 옥천면 신복리","집합","1**","신촌길","계획관리","숙박","12m미만","45.00"," ","2,303","47","-","-","202301","17","지분","1988","-","직거래","-"
"1366","인천광역시 미추홀구 주안동","집합","4**","경인로","일반상업","제1종근린생활","25m이상","17.30"," ","4,300","","-","-","202301","17","","1979","-","중개거래","인천 미추홀구"
"1367","경기도 양평군 옥천면 신복리","집합","1**","신촌길","계획관리","숙박","12m미만","45.00"," ","2,303","16","-","-","202301","17","지분","1988","-","직거래","-"
"1368","대구광역시 중구 남산동","일반","5**","명덕로35길","제3종일반주거","제1종근린생활","25m미만","140.21","126.00","94,500","","-","-","202301","17","","1980","-","중개거래","대구 중구"
"1369","서울특별시 중구 장교동","집합","*","청계천로","일반상업","판매","25m이상","118.02"," ","35,268","","-","-","202301","17","","1987","-","직거래","-"
"1370","경기도 화성시 반월동","일반","3**","삼성1로6길","자연녹지","제2종근린생활","8m미만","226.15","513.00","145,000","","-","-","202301","17","","1995","-","중개거래","경기 화성시 서울 은평구"
"1371","경기도 양평군 옥천면 신복리","집합","1**","신촌길","계획관리","숙박","12m미만","45.00"," ","408","34","-","-","202301","17","지분","1988","-","직거래","-"
"1372","경기도 수원시 영통구 신동","집합","4**","신원로","일반공업","제2종근린생활","25m미만","119.51"," ","28,000","3","-","-","202301","17","","2008","-","중개거래","경기 수원영통구"
"1373","충청북도 단양군 단양읍 상진리","집합","*","삼봉로","자연녹지","숙박","25m미만","59.50"," ","4,500","13","-","-","202301","17","지분","2004","-","직거래","-"
"1374","충청남도 보령시 대천동","일반","3**","대흥로","준주거","숙박","8m미만","236.94","173.00","15,700","","-","-","202301","17","","1980","-","직거래","-"
"1375","경상남도 창원시 성산구 상남동","집합","6*","상남로","중심상업","업무","25m이상","28.90"," ","4,100","9","-","-","202301","17","","2000","-","중개거래","경남 창원성산구"
"1376","부산광역시 남구 우암동","집합","4*","우암로","제2종일반주거","제1종근린생활","25m이상","24.32"," ","3,600","","-","-","202301","17","","1994","-","직거래","-"
"1377","서울특별시 성동구 금호동4가","일반","1***","동호로","제3종일반주거","제2종근린생활","8m미만","181.03","90.00","105,000","","-","-","202301","17","","2022","-","직거래","-"
"1378","울산광역시 울주군 언양읍 어음리","집합","1**","언양로","제2종일반주거","제2종근린생활","25m미만","34.86"," ","46,782","1","-","-","202301","17","","2022","-","직거래","-"
"1379","경기도 파주시 다율동","집합","1***","해올2길","일반상업","제1종근린생활","-","34.50"," ","54,333","1","-","-","202301","17","","2022","-","직거래","-"
"1380","서울특별시 중구 장교동","집합","*","청계천로","일반상업","판매","25m이상","17.86"," ","5,334","","-","-","202301","17","","1987","-","직거래","-"
"1381","경기도 용인시 수지구 풍덕천동","집합","1***","포은대로","준주거","업무","25m이상","32.56"," ","15,700","3","-","-","202301","17","","2003","-","중개거래","경기 용인수지구"
"1382","경기도 부천시 오정구 고강동","집합","3**","고리울로","제2종일반주거","제2종근린생활","12m미만","91.39"," ","37,425","","-","-","202301","17","","","-","직거래","-"
"1383","인천광역시 남동구 구월동","집합","1***","예술로","일반상업","판매","25m이상","11.24"," ","3,600","1","-","-","202301","17","지분","1999","-","직거래","-"
"1384","인천광역시 남동구 구월동","집합","1***","예술로","일반상업","판매","25m이상","11.24"," ","3,600","1","-","-","202301","17","지분","1999","-","직거래","-"
"1385","인천광역시 남동구 구월동","집합","1***","예술로","일반상업","판매","25m이상","11.24"," ","3,600","1","-","-","202301","17","지분","1999","-","직거래","-"
"1386","대전광역시 서구 둔산동","집합","9**","둔산중로","중심상업","업무","25m이상","28.71"," ","4,650","9","-","-","202301","17","","2000","-","중개거래","대전 서구"
"1387","경상남도 창원시 마산합포구 오동동","집합","3**","해안대로","일반상업","제2종근린생활","12m미만","101.53"," ","8,977","2","-","-","202301","17","","2003","-","직거래","-"
"1388","서울특별시 성북구 장위동","집합","*","화랑로","준주거","제2종근린생활","25m이상","124.11"," ","160,000","","-","-","202301","17","","2019","-","직거래","-"
"1389","전라남도 나주시 중앙동","일반","8*","나주로","일반상업","제1종근린생활","12m미만","788.70","519.00","79,990","","-","-","202301","17","","1993","-","중개거래","전남 나주시"
"1390","충청남도 아산시 둔포면 석곡리","집합","1***","아산밸리중앙로","일반상업","제1종근린생활","25m미만","48.40"," ","55,000","1","-","-","202301","17","","2016","-","중개거래","충남 아산시"
"1391","경상남도 창원시 마산합포구 오동동","집합","3**","해안대로","일반상업","제2종근린생활","12m미만","23.40"," ","2,047","2","-","-","202301","17","","2003","-","직거래","-"
"1392","강원특별자치도 원주시 지정면 월송리","집합","1***","오크밸리1길","계획관리","숙박","12m미만","67.46"," ","3,600","6","-","-","202301","17","지분","1998","-","직거래","-"
"1393","서울특별시 성동구 금호동3가","일반","9**","장터5길","제2종일반주거","제2종근린생활","12m미만","79.47","48.30","93,000","","-","-","202301","17","","2022","-","중개거래","서울 강남구"
"1394","서울특별시 중구 황학동","집합","2***","청계천로","일반상업","제2종근린생활","25m이상","66.22"," ","35,000","","-","-","202301","17","","2008","-","직거래","-"
"1395","강원특별자치도 속초시 노학동","집합","7**","관광로408번길","자연녹지","숙박","12m미만","46.67"," ","200","","-","-","202301","17","지분","1991","-","직거래","-"
"1396","경상북도 울진군 온정면 소태리","집합","1***","온천로","일반상업","숙박","12m미만","46.15"," ","401","2","-","-","202301","17","지분","1988","-","직거래","-"
"1397","인천광역시 남동구 구월동","집합","1***","예술로","일반상업","판매","25m이상","16.86"," ","5,400","1","-","-","202301","17","지분","1999","-","직거래","-"
"1398","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","25m이상","52.88"," ","35,000","6","-","-","202301","17","","2018","-","중개거래","서울 강서구"
"1399","경기도 고양시 덕양구 화정동","집합","9**","은빛로","근린상업","제2종근린생활","25m이상","35.94"," ","25,000","","-","-","202301","17","","1996","-","중개거래","경기 고양시 덕양구"
"1400","강원특별자치도 원주시 지정면 월송리","집합","1***","오크밸리1길","계획관리","숙박","12m미만","67.46"," ","3,600","8","-","-","202301","17","지분","1998","-","직거래","-"
"1401","경상남도 창원시 마산합포구 오동동","집합","3**","해안대로","일반상업","제2종근린생활","12m미만","101.53"," ","8,976","2","-","-","202301","17","","2003","-","직거래","-"
"1402","대전광역시 유성구 원내동","일반","3**","원내로","제3종일반주거","제2종근린생활","25m미만","1252.03","862.80","180,000","","-","-","202301","17","","1995","-","직거래","-"
"1403","강원특별자치도 동해시 천곡동","집합","8**","한섬로","일반상업","제2종근린생활","25m이상","143.05"," ","208,234","1","-","-","202301","17","","2009","-","직거래","-"
"1404","경상남도 거제시 아주동","집합","1***","아주1로4길","일반상업","숙박","25m미만","36.50"," ","11,300","35","-","-","202301","17","","2018","-","중개거래","경남 거제시"
"1405","서울특별시 영등포구 여의도동","집합","1*","국회대로72길","일반상업","업무","12m미만","37.34"," ","22,500","3","-","-","202301","17","","2001","-","중개거래","서울 영등포구"
"1406","강원특별자치도 원주시 지정면 월송리","집합","1***","오크밸리1길","계획관리","숙박","12m미만","67.46"," ","3,600","8","-","-","202301","17","지분","1998","-","직거래","-"
"1407","전라남도 목포시 용해동","집합","1**","삼학로","제3종일반주거","업무","25m이상","72.77"," ","4,000","","-","-","202301","17","","2007","-","직거래","-"
"1408","충청남도 아산시 둔포면 석곡리","집합","1***","아산밸리중앙로","일반상업","제1종근린생활","25m미만","48.40"," ","51,500","1","-","-","202301","17","","2016","-","중개거래","충남 아산시"
"1409","강원특별자치도 평창군 대관령면 용산리","집합","5**","","계획관리","숙박","12m미만","111.81"," ","15,000","73","-","-","202301","17","지분","2008","-","직거래","-"
"1410","부산광역시 동구 범일동","일반","1***","범곡북로","준주거","제1종근린생활","8m미만","111.68","50.00","9,000","","-","-","202301","16","","1962","-","직거래","-"
"1411","인천광역시 중구 중산동","집합","1***","은하수로","일반상업","제1종근린생활","25m이상","6.60"," ","11,500","1","-","-","202301","16","","2013","-","중개거래","인천 중구"
"1412","인천광역시 중구 중산동","집합","1***","은하수로29번길","일반상업","숙박","25m미만","21.00"," ","6,800","11","-","-","202301","16","","2017","-","중개거래","인천 중구"
"1413","제주특별자치도 서귀포시 남원읍 남원리","집합","2***","태위로","자연녹지","숙박","12m미만","53.76"," ","1,000","4","-","-","202301","16","지분","2007","-","직거래","-"
"1414","제주특별자치도 서귀포시 남원읍 위미리","일반","2***","태위로115번길","제2종일반주거","제2종근린생활","8m미만","366.64","656.00","57,000","","-","-","202301","16","","1982","-","직거래","-"
"1415","인천광역시 미추홀구 용현동","집합","4**","인주대로94번길","일반상업","제1종근린생활","25m이상","39.28"," ","22,300","1","-","-","202301","16","","2017","-","중개거래","인천 미추홀구"
"1416","부산광역시 남구 대연동","집합","8**","용소로64번길","제2종일반주거","제2종근린생활","8m미만","34.02"," ","8,500","1","-","-","202301","16","","2003","-","중개거래","부산 남구"
"1417","경기도 안성시 일죽면 주천리","일반","4**","주래본죽로","제1종일반주거","제1종근린생활","8m미만","108.30","186.00","12,249","","-","-","202301","16","","2007","-","직거래","-"
"1418","충청남도 천안시 동남구 목천읍 신계리","일반","3**","신계1길","계획관리","제1종근린생활","8m미만","199.52","2010.00","135,000","","-","-","202301","16","","2022","-","직거래","-"
"1419","경상남도 통영시 용남면 동달리","일반","8**","동암길","자연녹지","기타","8m미만","635.46","1299.00","70,300","","-","-","202301","16","","1997","-","직거래","-"
"1420","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제1종근린생활","12m미만","78.75"," ","15,000","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1421","부산광역시 부산진구 부전동","집합","3**","부전로162번길","일반상업","판매","25m미만","8.50"," ","4,700","","-","-","202301","16","","1980","-","직거래","-"
"1422","인천광역시 남동구 간석동","집합","2**","경인로653번길","일반상업","제2종근린생활","12m미만","53.46"," ","10,000","2","-","-","202301","16","","2011","-","중개거래","인천 남동구"
"1423","부산광역시 부산진구 부전동","집합","1**","중앙대로","일반상업","제1종근린생활","25m이상","198.73"," ","266,444","14","-","-","202301","16","","2022","-","직거래","-"
"1424","부산광역시 부산진구 부전동","집합","3**","부전로162번길","일반상업","판매","25m미만","5.06"," ","800","","-","-","202301","16","","1980","-","직거래","-"
"1425","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","56.58"," ","35,500","1","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1426","인천광역시 부평구 부평동","집합","2**","부평문화로","일반상업","제1종근린생활","25m이상","89.28"," ","84,100","2","-","-","202301","16","","2022","-","직거래","-"
"1427","인천광역시 부평구 십정동","일반","3**","열우물로50번길","제2종일반주거","제2종근린생활","12m미만","197.64","396.40","149,000","","-","-","202301","16","","1992","-","중개거래","인천 부평구"
"1428","강원특별자치도 홍천군 서면 팔봉리","집합","1***","한치골길","계획관리","숙박","12m미만","53.46"," ","2,550","8","-","-","202301","16","지분","1994","-","직거래","-"
"1429","인천광역시 서구 심곡동","일반","2**","서곶로301번길","일반상업","숙박","12m미만","995.11","390.00","370,000","","-","-","202301","16","","","-","직거래","-"
"1430","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","66.23"," ","12,500","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1431","경상북도 칠곡군 북삼읍 인평리","일반","1***","금오대로6길","제1종일반주거","제1종근린생활","8m미만","128.64","240.50","30,000","","-","-","202301","16","","2016","-","중개거래","경북 칠곡군"
"1432","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제1종근린생활","12m미만","48.23"," ","9,000","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1433","광주광역시 동구 산수동","일반","5**","필문대로171번길","제1종일반주거","기타","8m미만","533.78","287.90","55,000","","-","-","202301","16","","1984","20230214","직거래","-"
"1434","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","43.62"," ","8,000","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1435","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","78.75"," ","15,000","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1436","서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","숙박","25m이상","30.03"," ","18,900","2","-","-","202301","16","","2003","-","중개거래","서울 강남구"
"1437","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","55.10"," ","30,000","1","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1438","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","93.01"," ","18,000","4","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1439","광주광역시 북구 삼각동","집합","8**","우치로422번길","준주거","제1종근린생활","25m미만","2315.29"," ","456,532","6","-","-","202301","16","","2021","-","직거래","-"
"1440","광주광역시 북구 삼각동","집합","8**","우치로422번길","준주거","제1종근린생활","25m미만","2315.29"," ","402,183","4","-","-","202301","16","","2021","-","직거래","-"
"1441","경상북도 경산시 진량읍 다문리","일반","6**","다문로","계획관리","제2종근린생활","25m미만","341.74","349.00","29,000","","-","-","202301","16","","2010","-","직거래","-"
"1442","서울특별시 서초구 서초동","집합","1***","서운로","일반상업","제1종근린생활","25m미만","34.19"," ","90,000","","-","-","202301","16","","1996","-","직거래","-"
"1443","서울특별시 서초구 서초동","집합","1***","서초중앙로","일반상업","업무","25m이상","10.15"," ","4,200","","-","-","202301","16","","2005","-","중개거래","서울 서초구"
"1444","서울특별시 서초구 서초동","집합","1***","서초중앙로","일반상업","업무","25m이상","10.15"," ","5,600","10","-","-","202301","16","","2005","-","중개거래","서울 강남구"
"1445","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","21.56"," ","40,170","3","-","-","202301","16","","","-","중개거래","서울 서초구"
"1446","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","47.25"," ","85,949","3","-","-","202301","16","","","-","중개거래","서울 서초구"
"1447","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","48.33"," ","75,981","5","-","-","202301","16","","","-","중개거래","서울 서초구"
"1448","서울특별시 서초구 반포동","집합","*","반포대로","제3종일반주거","제2종근린생활","25m이상","46.15"," ","74,732","5","-","-","202301","16","","","-","중개거래","서울 서초구"
"1449","강원특별자치도 속초시 장사동","집합","2*","미시령로2983번길","계획관리","숙박","25m미만","42.75"," ","400","","-","-","202301","16","지분","1983","-","직거래","-"
"1450","전라남도 완도군 완도읍 군내리","일반","1***","","일반상업","제1종근린생활","12m미만","547.12","276.00","50,000","","-","-","202301","16","","1991","-","직거래","-"
"1451","전라남도 영광군 법성면 법성리","일반","6**","굴비로2길","제2종일반주거","제1종근린생활","8m미만","175.38","210.10","12,000","","-","-","202301","16","","2013","-","중개거래","전남 영광군"
"1452","전라남도 영암군 삼호읍 용당리","일반","1***","신항로","자연녹지","제2종근린생활","25m이상","463.39","175.00","16,000","","-","-","202301","16","","1998","-","중개거래","전남 영암군"
"1453","강원특별자치도 속초시 장사동","집합","2*","미시령로2983번길","계획관리","숙박","25m미만","42.75"," ","400","","-","-","202301","16","지분","1983","-","직거래","-"
"1454","대전광역시 서구 탄방동","일반","5**","둔산중로","중심상업","판매","25m이상","46.29","12.70","4,400","","-","-","202301","16","","1999","-","직거래","-"
"1455","대전광역시 서구 둔산동","집합","1***","둔산로","중심상업","업무","25m이상","43.45"," ","8,300","14","-","-","202301","16","","2000","-","중개거래","대전 서구"
"1456","경상북도 포항시 북구 흥해읍 학천리","집합","*","도음로917번길","제2종일반주거","제2종근린생활","12m미만","48.79"," ","27,000","1","-","-","202301","16","","2017","-","중개거래","부산 중구"
"1457","서울특별시 영등포구 여의도동","집합","1*","은행로","일반상업","업무","25m이상","61.20"," ","44,000","2","-","-","202301","16","","1985","20230223","중개거래","서울 영등포구"
"1458","대전광역시 유성구 원신흥동","집합","5**","원신흥남로12번길","준주거","제1종근린생활","25m미만","55.81"," ","50,000","1","-","-","202301","16","","2012","-","중개거래","대전 서구 대전 유성구"
"1459","대전광역시 유성구 원신흥동","집합","5**","원신흥남로12번길","준주거","제1종근린생활","25m미만","50.40"," ","40,000","1","-","-","202301","16","","2012","-","중개거래","대전 서구 대전 유성구"
"1460","대전광역시 유성구 원신흥동","집합","4**","봉명로","제3종일반주거","제2종근린생활","25m미만","34.44"," ","13,000","2","-","-","202301","16","","2012","-","직거래","-"
"1461","경기도 성남시 수정구 태평동","집합","3***","수정북로","제2종일반주거","제1종근린생활","12m미만","60.55"," ","12,500","3","-","-","202301","16","","","-","중개거래","경기 성남수정구"
"1462","강원특별자치도 고성군 토성면 신평리","집합","4**","잼버리동로","계획관리","숙박","12m미만","54.60"," ","140","","-","-","202301","16","지분","1992","-","직거래","-"
"1463","강원특별자치도 고성군 토성면 신평리","집합","4**","잼버리동로","계획관리","숙박","12m미만","44.33"," ","140","","-","-","202301","16","지분","1992","-","직거래","-"
"1464","강원특별자치도 고성군 토성면 신평리","집합","7**","","계획관리","숙박","12m미만","90.45"," ","2,070","26","-","-","202301","16","지분","2019","-","직거래","-"
"1465","경상북도 포항시 남구 동해면 발산리","일반","1**","호미로2122번길","자연환경보전","제2종근린생활","8m미만","60.31","83.00","8,500","","-","-","202301","16","","1994","-","중개거래","경북 포항남구"
"1466","강원특별자치도 고성군 토성면 신평리","집합","7**","","계획관리","숙박","12m미만","90.45"," ","2,070","26","-","-","202301","16","지분","2019","-","직거래","-"
"1467","충청남도 홍성군 서부면 남당리","일반","7**","남당항로","계획관리","제2종근린생활","12m미만","185.00","245.00","27,000","","-","-","202301","16","","2015","-","중개거래","충남 서산시 충남 홍성군"
"1468","서울특별시 강서구 마곡동","집합","7**","강서로","준주거","제1종근린생활","25m이상","39.29"," ","105,000","1","-","-","202301","16","","2017","-","직거래","-"
"1469","경기도 의정부시 산곡동","집합","6**","세석로","일반상업","제2종근린생활","25m미만","69.36"," ","17,951","5","-","-","202301","16","","2021","-","직거래","-"
"1470","경기도 의정부시 산곡동","집합","6**","세석로","일반상업","제2종근린생활","25m미만","69.40"," ","17,951","5","-","-","202301","16","","2021","-","직거래","-"
"1471","전북특별자치도 익산시 함열읍 와리","일반","2**","함열중앙로","제2종일반주거","제2종근린생활","25m이상","1268.56","68.63","15,000","","-","-","202301","16","지분","1993","-","직거래","-"
"1472","경기도 광명시 광명동","집합","7**","","제2종일반주거","제2종근린생활","25m미만","442.56"," ","35,000","","-","-","202301","16","지분","1994","-","중개거래","경기 광명시"
"1473","경기도 광명시 광명동","집합","7**","","제2종일반주거","제1종근린생활","25m미만","143.20"," ","15,000","","-","-","202301","16","지분","1994","-","중개거래","경기 광명시"
"1474","전북특별자치도 정읍시 칠보면 시산리","일반","6**","칠보중앙로","일반상업","제2종근린생활","12m미만","226.10","166.80","5,000","","-","-","202301","16","","1996","-","직거래","-"
"1475","전북특별자치도 정읍시 산내면 종성리","일반","4**","산호수길","보전관리","제1종근린생활","8m미만","32.00","222.00","2,000","","-","-","202301","16","","2009","-","직거래","-"
"1476","전북특별자치도 정읍시 산내면 종성리","일반","4**","산호수길","보전관리","제1종근린생활","8m미만","196.40","591.00","2,000","","-","-","202301","16","","2012","-","직거래","-"
"1477","전북특별자치도 정읍시 산내면 종성리","일반","4**","","보전관리","제1종근린생활","8m미만","17.10","168.00","1,600","","-","-","202301","16","","2009","-","직거래","-"
"1478","서울특별시 마포구 공덕동","집합","4**","백범로31길","준주거","제2종근린생활","25m이상","43.89"," ","75,000","","-","-","202301","16","","2021","-","중개거래","서울 마포구"
"1479","서울특별시 서대문구 홍제동","집합","2**","통일로40길","제2종일반주거","제2종근린생활","8m미만","26.79"," ","16,200","3","-","-","202301","16","","2018","-","중개거래","서울 서대문구"
"1480","경기도 평택시 평택동","집합","1**","평택로57번길","일반상업","숙박","12m미만","19.42"," ","17,887","11","-","-","202301","16","","2020","-","직거래","-"
"1481","경기도 평택시 합정동","일반","7**","조개터로48번길","제2종일반주거","제1종근린생활","8m미만","831.99","557.50","140,000","","-","-","202301","16","","1999","-","직거래","-"
"1482","서울특별시 은평구 신사동","집합","2*","은평로","제3종일반주거","제1종근린생활","25m이상","43.96"," ","80,000","1","-","-","202301","16","","2023","-","중개거래","서울 은평구"
"1483","서울특별시 은평구 녹번동","집합","9*","은평로21길","제2종일반주거","기타","8m미만","34.40"," ","45,000","","-","-","202301","16","","2006","-","직거래","-"
"1484","서울특별시 노원구 중계동","집합","1**","덕릉로90길","제3종일반주거","제2종근린생활","8m미만","40.78"," ","16,110","2","-","-","202301","16","","2018","-","중개거래","서울 노원구"
"1485","서울특별시 강북구 수유동","일반","5*","도봉로77길","일반상업","제2종근린생활","8m미만","1128.08","104.79","90,500","","-","-","202301","16","지분","2011","-","직거래","-"
"1486","경기도 과천시 별양동","집합","*","별양상가3로","일반상업","업무","25m미만","25.85"," ","24,700","17","-","-","202301","16","","2022","-","직거래","-"
